"id_book","title","author_first_name","author_last_name","genre","status","rating","num_ratings","user_id"
1,"Charter Trip, The (a.k.a. Package Tour, The) (SÃ¤llskapsresan)",Leyla,Edmans,Comedy,free,3.5,2,
2,Who Wants to Kill Jessie? (Kdo chce zabÃ­t Jessii?),Reginald,Shortland,Comedy|Sci-Fi,reserved,2.0,1,2
3,Leo the Last,Perkin,Weathey,Comedy|Drama,reserved,4.0,3,1
4,Never on Sunday (Pote tin Kyriaki),Duff,Blueman,Comedy|Drama,reserved,3.0,1,1
5,Division III: Football's Finest,Flinn,Knuckles,Comedy|Romance,reserved,0.0,0,1
6,Ethel,Merola,Rulten,Documentary,free,0.0,0,
7,The Bronze,Nixie,Suter,Comedy|Drama,free,0.0,0,
8,"Factory, The",Lisetta,Church,Mystery|Thriller,free,0.0,0,
9,Love and Death on Long Island,Tuckie,Toffts,Comedy|Drama,free,0.0,0,
10,"Stuff, The",Christalle,Waistell,Comedy|Horror|Mystery|Sci-Fi,free,5.0,2,
11,Ladies of Leisure,Pepillo,Linacre,Romance,reserved,0.0,0,1
12,Big Girls Don't Cry... They Get Even (Stepkids),Doralynne,Haresnape,Comedy,reserved,0.0,0,1
13,Note by Note: The Making of Steinway L1037,Welsh,Tomisch,Documentary,free,0.0,0,
14,On the Other Side of the Tracks (De l'autre cÃ´tÃ© du pÃ©riph),Danell,Speenden,Action|Comedy|Crime,free,0.0,0,
15,Evan Almighty,Marshall,Bockh,Comedy|Fantasy,reserved,0.0,0,1
16,In July (Im Juli),Talbert,Maharey,Comedy|Romance,free,1.0,1,
17,Rockaway,Madel,McIlwain,Action|Crime|Drama,free,0.0,0,
18,After Alice (Eye of the Killer),Darius,LaBastida,Crime|Drama|Mystery|Thriller,free,0.0,0,
19,Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers SekretÃ¤rin),Fields,Cleminshaw,Documentary,free,0.0,0,
20,Cyrano de Bergerac,Madge,Ferreira,Comedy|Drama|Romance,free,0.0,0,
21,Seven Ways from Sundown,Madella,How,Action|Adventure|Western,free,0.0,0,
22,Ong-Bak 2: The Beginning (Ong Bak 2),Ozzy,Agate,Action,free,0.0,0,
23,Thunderball,Larine,Halfpenny,Action|Adventure|Thriller,free,0.0,0,
